ax -0.00403619, ay -0.744798, az 9.80913
gx 0.014264, gy -0.00322604, gz 3.04246
qx -0.00196063, qy -0.00145623, qz -0.803391
roll 0.00142839, pitch -0.0538123, yaw -1.64287
ax -0.00302109, ay -0.746994, az 9.80934
gx 0.0148729, gy -0.0026686, gz 3.051
qx -0.00192169, qy -0.00157508, qz -0.773402
roll -0.0040818, pitch -0.0532637, yaw -1.54513
ax -1.66953, ay -0.254823, az 9.89974
gx 0.0181023, gy 0.00385786, gz 3.06726
qx -0.00177089, qy -0.00149425, qz -0.71159
roll -0.0133219, pitch -0.0491416, yaw -1.34919
ax -0.0103613, ay -0.729371, az 9.81084
gx 0.0171274, gy -0.00496999, gz 3.07495
qx -0.00170599, qy -0.00165578, qz -0.676205
roll -0.018113, pitch -0.0472943, yaw -1.25074
ax -0.201701, ay -0.778453, az 9.81074
gx 0.00986659, gy -0.0127021, gz 3.0899
qx -0.00128061, qy -0.00187711, qz -0.604803
roll -0.0270109, pitch -0.0430564, yaw -1.05343
ax -0.0139645, ay -0.805534, az 9.80822
gx 0.0130782, gy -0.00442933, gz 3.09827
qx -0.00124806, qy -0.00199397, qz -0.564631
roll -0.0312399, pitch -0.0399191, yaw -0.954294
ax -0.0643418, ay -0.859727, az 9.80954
gx 0.0145002, gy -0.00260546, gz 3.11685
qx -0.00111819, qy -0.00219178, qz -0.47985
roll -0.0381044, pitch -0.0328232, yaw -0.755435
ax 1.63972, ay -0.884814, az 9.73235
gx -0.000673604, gy 0.00587068, gz 2.7669
qx -0.00117859, qy -0.00205263, qz -0.440578
roll -0.04136, pitch -0.030511, yaw -0.666972
ax -0.135509, ay -0.881082, az 9.80818
gx 0.0166598, gy -0.00375863, gz 3.12753
qx -0.000897595, qy -0.00221272, qz -0.348615
roll -0.0459918, pitch -0.0216979, yaw -0.467574
ax -0.132577, ay -0.738603, az 9.80975
gx 0.0102469, gy -0.0100134, gz 3.01859
qx -0.000411372, qy -0.00225294, qz -0.260056
roll -0.048968, pitch -0.0129278, yaw -0.275135
ax -0.00366511, ay -0.74126, az 9.80885
gx 0.0135766, gy -0.00391348, gz 3.03892
qx -0.000262292, qy -0.00244724, qz -0.165301
roll -0.0499604, pitch -0.00354698, yaw -0.0814703
ax -0.00234504, ay -0.743629, az 9.80912
gx 0.0143375, gy -0.00319748, gz 3.04771
qx -0.000163506, qy -0.00251949, qz -0.117069
roll -0.0498762, pitch 0.00119482, yaw 0.0158632
ax -1.67441, ay -0.275965, az 9.89934
gx 0.0177282, gy 0.00359344, gz 3.06434
qx -0.000130137, qy -0.00237958, qz -0.0249895
roll -0.0473552, pitch 0.0125379, yaw 0.211118
ax -0.00920104, ay -0.71931, az 9.81097
gx 0.0169132, gy -0.00520148, gz 3.07204
qx 2.14641e-05, qy -0.00245974, qz 0.0241191
roll -0.0456452, pitch 0.0167677, yaw 0.309252
ax -0.199037, ay -0.775954, az 9.81052
gx 0.00969717, gy -0.0128418, gz 3.08697
qx 0.000468005, qy -0.00233908, qz 0.116853
roll -0.0413305, pitch 0.0244555, yaw 0.506062
ax -0.0065951, ay -0.794572, az 9.80827
gx 0.0129746, gy -0.00459196, gz 3.09515
qx 0.000566308, qy -0.00240767, qz 0.165833
roll -0.0387319, pitch 0.0279758, yaw 0.604976
ax -0.0532186, ay -0.852316, az 9.80943
gx 0.0144157, gy -0.00273872, gz 3.11308
qx 0.000784421, qy -0.00247258, qz 0.262865
roll -0.0321086, pitch 0.0345078, yaw 0.803521
ax 1.63277, ay -0.901926, az 9.73217
gx -0.00080531, gy 0.00587076, gz 2.76362
qx 0.000637204, qy -0.00241772, qz 0.30523
roll -0.0295847, pitch 0.0353691, yaw 0.891886
ax -0.147521, ay -0.902006, az 9.80808
gx 0.0165229, gy -0.00433574, gz 3.14635
qx 0.000937267, qy -0.00235214, qz 0.399118
roll -0.0216279, pitch 0.039925, yaw 1.09263
ax -0.130672, ay -0.737917, az 9.80955
gx 0.0101794, gy -0.0100597, gz 3.01408
qx 0.00130173, qy -0.00204156, qz 0.482418
roll -0.0136321, pitch 0.0423293, yaw 1.28506
ax -0.00136189, ay -0.741512, az 9.80883
gx 0.0135283, gy -0.00396269, gz 3.03533
qx 0.00153038, qy -0.00208318, qz 0.564898
roll -0.00510426, pitch 0.0433905, yaw 1.47886
ax -8.57209e-05, ay -0.744172, az 9.8091
gx 0.0142992, gy -0.00323441, gz 3.04438
qx 0.00164484, qy -0.00206839, qz 0.604375
roll -0.00116269, pitch 0.043121, yaw 1.57626
ax -1.67691, ay -0.299934, az 9.89908
gx 0.0176851, gy 0.00362699, gz 3.06139
qx 0.00155966, qy -0.00194759, qz 0.675205
roll 0.00799414, pitch 0.043897, yaw 1.77173
ax -0.00836644, ay -0.709187, az 9.81118
gx 0.016961, gy -0.00517106, gz 3.06911
qx 0.0017178, qy -0.00189928, qz 0.71057
roll 0.011942, pitch 0.0422934, yaw 1.86991
ax -0.197067, ay -0.777193, az 9.81041
gx 0.00968007, gy -0.0128198, gz 3.08404
qx 0.00194254, qy -0.00150141, qz 0.772789
roll 0.0195191, pitch 0.0380892, yaw 2.06674
ax 0.000471162, ay -0.782288, az 9.80844
gx 0.0130204, gy -0.00462706, gz 3.09205
qx 0.00205499, qy -0.00148139, qz 0.803205
roll 0.0225602, pitch 0.0354513, yaw 2.16561
ax -0.0420763, ay -0.843595, az 9.80934
gx 0.0144346, gy -0.00279038, gz 3.10939
qx 0.00224545, qy -0.00137414, qz 0.858292
roll 0.0288429, pitch 0.0297874, yaw 2.36395
ax 1.61703, ay -0.935589, az 9.73169
gx -0.000955405, gy 0.00603671, gz 2.76043
qx 0.00209192, qy -0.00143562, qz 0.880098
roll 0.0300743, pitch 0.0254118, yaw 2.4522
ax -0.13244, ay -0.898623, az 9.80816
gx 0.0165053, gy -0.0044669, gz 3.14091
qx 0.002249, qy -0.00117512, qz 0.923184
roll 0.0342771, pitch 0.0184824, yaw 2.65245
ax -0.131461, ay -0.739385, az 9.80959
gx 0.0101321, gy -0.0100603, gz 3.00929
qx 0.00228245, qy -0.000693009, qz 0.954799
roll 0.0366242, pitch 0.0109294, yaw 2.84431
ax -0.00260221, ay -0.743108, az 9.80884
gx 0.0134868, gy -0.00396228, gz 3.03158
qx 0.00246438, qy -0.000558237, qz 0.979051
roll 0.0377277, pitch 0.00332316, yaw 3.03758
ax -0.0015084, ay -0.745716, az 9.80911
gx 0.0142597, gy -0.00322845, gz 3.04092
qx 0.00253092, qy -0.000464579, qz 0.987788
roll 0.0371809, pitch -0.000473059, yaw 3.13474
ax 1.72097, ay -1.08343, az 9.72851
gx -0.00173241, gy 0.00503337, gz 2.71281
qx 0.00248308, qy -0.000489916, qz 0.997931
roll 0.035006, pitch -0.00822084, yaw -2.97535
ax -1.67068, ay -0.265651, az 9.89964
gx 0.0180877, gy 0.00389614, gz 3.06593
qx 0.00241207, qy -0.000318601, qz 0.99988
roll 0.0340091, pitch -0.0097262, yaw -2.87736
ax 0.18525, ay -0.578183, az 9.80395
gx 0.0313764, gy 0.020115, gz 2.73083
qx 0.00212774, qy 0.00021821, qz 0.996993
roll 0.032984, pitch -0.0144193, yaw -2.70307
ax -0.200007, ay -0.78044, az 9.81067
gx 0.00985619, gy -0.0126813, gz 3.08853
qx 0.00232548, qy 0.00028596, qz 0.991955
roll 0.0305868, pitch -0.0176378, yaw -2.60435
ax -0.035108, ay -0.832265, az 9.8089
gx 0.0139064, gy -0.0032541, gz 3.10552
qx 0.00240849, qy 0.000496525, qz 0.974552
roll 0.0262594, pitch -0.023335, yaw -2.40626
ax -0.0580222, ay -0.856906, az 9.80949
gx 0.0145045, gy -0.00262611, gz 3.11505
qx 0.00241879, qy 0.000611291, qz 0.962186
roll 0.0231542, pitch -0.0256199, yaw -2.30664
ax -1.45812, ay -0.2419, az 9.89788
gx 0.0180732, gy 0.000904105, gz 3.13471
qx 0.00227033, qy 0.000617272, qz 0.932252
roll 0.0183257, pitch -0.0280078, yaw -2.10664
ax 0.335619, ay -0.524875, az 9.80686
gx 0.031908, gy 0.0186773, gz 2.79653
qx 0.00181652, qy 0.00101478, qz 0.893702
roll 0.0145059, pitch -0.0298562, yaw -1.92805
ax -0.00361277, ay -0.742558, az 9.80832
gx 0.0125259, gy -0.00504857, gz 3.02742
qx -0.00195729, qy -0.001263, qz -0.846248
roll 0.00841836, pitch -0.0321547, yaw -1.73479
ax -0.00504975, ay -0.743409, az 9.80886
gx 0.0135556, gy -0.0039297, gz 3.03717
qx -0.00195367, qy -0.00138319, qz -0.81939
roll 0.00487297, pitch -0.0326319, yaw -1.6376
ax 1.72829, ay -1.082, az 9.72846
gx -0.00214479, gy 0.00448344, gz 2.71027
qx -0.00195691, qy -0.00134719, qz -0.763238
roll -0.00201578, pitch -0.0341105, yaw -1.46445
ax -1.67889, ay -0.285679, az 9.89929
gx 0.0177197, gy 0.00362655, gz 3.06291
qx -0.00179302, qy -0.00142811, qz -0.730697
roll -0.00501002, pitch -0.0316492, yaw -1.36645
ax 0.182818, ay -0.559876, az 9.80384
gx 0.0312043, gy 0.019902, gz 2.72851
qx -0.00122421, qy -0.00163344, qz -0.664349
roll -0.00881531, pitch -0.0291052, yaw -1.19219
ax -0.20129, ay -0.776977, az 9.81052
gx 0.00968673, gy -0.0128229, gz 3.08557
qx -0.00132329, qy -0.00182712, qz -0.626686
roll -0.012028, pitch -0.0280307, yaw -1.09347
ax -0.0293787, ay -0.820515, az 9.80881
gx 0.0138186, gy -0.00340324, gz 3.10215
qx -0.00124381, qy -0.00205365, qz -0.546551
roll -0.0171208, pitch -0.0251379, yaw -0.89551
ax -0.0504705, ay -0.84678, az 9.8094
gx 0.0144239, gy -0.00275893, gz 3.11132
qx -0.00117519, qy -0.00215189, qz -0.504238
roll -0.0197473, pitch -0.0231391, yaw -0.795999
ax -1.47222, ay -0.236004, az 9.8981
gx 0.0179767, gy 0.00100189, gz 3.13011
qx -0.00107036, qy -0.00206297, qz -0.420771
roll -0.0228089, pitch -0.0171514, yaw -0.59634
ax 0.323764, ay -0.521106, az 9.80676
gx 0.0318211, gy 0.0187249, gz 2.79123
qx -0.000475402, qy -0.00204813, qz -0.332927
roll -0.0236572, pitch -0.0120412, yaw -0.418227
ax -0.00302421, ay -0.738909, az 9.80831
gx 0.0124625, gy -0.00509279, gz 3.02346
qx -0.00041319, qy -0.00233772, qz -0.240533
roll -0.0252717, pitch -0.0076026, yaw -0.225361
ax -0.00410325, ay -0.739926, az 9.80885
gx 0.0134997, gy -0.00396259, gz 3.03359
qx -0.000331683, qy -0.00242799, qz -0.193193
roll -0.0259624, pitch -0.00521024, yaw -0.128386
ax 1.74053, ay -1.07898, az 9.72862
gx -0.00215577, gy 0.00429998, gz 2.70788
qx -0.000367785, qy -0.00241789, qz -0.102291
roll -0.0274135, pitch -0.00213767, yaw 0.0444212
ax -1.68039, ay -0.313329, az 9.89894
gx 0.0176308, gy 0.00362886, gz 3.05997
qx -0.000199419, qy -0.00236769, qz -0.0535233
roll -0.0269694, pitch 0.00231077, yaw 0.142223
ax 0.00249811, ay -0.721626, az 9.8071
gx 0.0168811, gy -0.00464187, gz 3.07529
qx 0.000100093, qy -0.00252087, qz 0.0446461
roll -0.0254457, pitch 0.00704992, yaw 0.33835
ax 0.189752, ay -0.563424, az 9.8044
gx 0.0312212, gy 0.0207032, gz 2.73228
qx 0.000473125, qy -0.00216918, qz 0.0882358
roll -0.0240446, pitch 0.00956904, yaw 0.425684
ax -0.0124628, ay -0.806801, az 9.80854
gx 0.0129578, gy -0.00403968, gz 3.0986
qx 0.00063379, qy -0.00242901, qz 0.186198
roll -0.0215135, pitch 0.0136421, yaw 0.623309
ax -0.0394666, ay -0.837291, az 9.80922
gx 0.0138054, gy -0.00293096, gz 3.10749
qx 0.00073787, qy -0.00246207, qz 0.234759
roll -0.0202737, pitch 0.0154776, yaw 0.722648
ax -1.48472, ay -0.233487, az 9.89854
gx 0.0175757, gy 0.00108129, gz 3.12552
qx 0.000726444, qy -0.00233517, qz 0.325035
roll -0.0157647, pitch 0.0204394, yaw 0.922013
ax 0.314395, ay -0.520578, az 9.8069
gx 0.0315236, gy 0.0186955, gz 2.78611
qx 0.00112654, qy -0.00192414, qz 0.413021
roll -0.0102253, pitch 0.0233553, yaw 1.09986
ax -0.000730077, ay -0.738588, az 9.80837
gx 0.0122712, gy -0.00513947, gz 3.01934
qx 0.00135516, qy -0.00209809, qz 0.498717
roll -0.00552086, pitch 0.0242362, yaw 1.29253
ax -0.00175113, ay -0.739942, az 9.80889
gx 0.0133425, gy -0.00400839, gz 3.02989
qx 0.00146866, qy -0.00211009, qz 0.540102
roll -0.00345616, pitch 0.0242651, yaw 1.38942
ax 0.000829522, ay -0.745306, az 9.80934
gx 0.0147697, gy -0.00271916, gz 3.04806
qx 0.00169586, qy -0.00207329, qz 0.619323
roll 0.00143776, pitch 0.0239694, yaw 1.58392
ax 1.72783, ay -1.08039, az 9.72864
gx -0.00178909, gy 0.00489786, gz 2.71175
qx 0.00153339, qy -0.0021012, qz 0.652775
roll 0.00232996, pitch 0.0219288, yaw 1.67064
ax -0.00675101, ay -0.719439, az 9.81107
gx 0.0171273, gy -0.00497953, gz 3.0722
qx 0.00176151, qy -0.0018842, qz 0.72384
roll 0.00680282, pitch 0.0204339, yaw 1.86666
ax 0.18804, ay -0.564294, az 9.80392
gx 0.0313533, gy 0.0200734, gz 2.72974
qx 0.00179022, qy -0.00137493, qz 0.753258
roll 0.0089173, pitch 0.0199655, yaw 1.95396
ax -0.00433492, ay -0.794964, az 9.80834
gx 0.0130912, gy -0.00448948, gz 3.09522
qx 0.00208679, qy -0.00145238, qz 0.814482
roll 0.0125191, pitch 0.017292, yaw 2.15141
ax -0.029044, ay -0.827395, az 9.80885
gx 0.0138986, gy -0.00330117, gz 3.10379
qx 0.00218378, qy -0.00140353, qz 0.842257
roll 0.0136218, pitch 0.0157109, yaw 2.25064
ax 1.62957, ay -0.910315, az 9.73199
gx -0.000792882, gy 0.00599295, gz 2.76363
qx 0.00212095, qy -0.00140069, qz 0.889118
roll 0.0150678, pitch 0.0116753, yaw 2.42705
